Keyword,Intent,Volume,Trend,Potential Traffic,Personal Keyword Difficulty,Keyword Difficulty,CPC (USD),SERP Features,Positions
youtube thumbnail size,Informational,33100,"1.00,1.00,1.00,1.00,0.81,0.81,1.00,1.00,0.81,0.81,1.00,1.00",3,95,54,1.53,"Sitelinks, AI Overview, Video, People also ask, Related searches",
poster maker,"Informational, Transactional",18100,"0.66,0.81,1.00,1.00,0.81,0.81,0.66,0.66,0.66,0.81,0.66,0.54",29,90,84,1.1,"Sitelinks, Image, Image pack, Video, Related searches",
album cover maker,Transactional,14800,"1.00,1.00,0.81,0.81,0.81,1.00,1.00,1.00,1.00,0.81,1.00,0.81",23,68,55,0.5,"Image, Image pack, Video, Discussions and forums, Related searches",
thumbnail maker,"Informational, Commercial",9900,"0.81,0.67,0.54,0.67,0.54,0.67,0.81,0.67,0.81,1.00,0.81,0.67",0,92,61,0.68,"Sitelinks, Image pack, Video, Related searches",
youtube thumbnail maker,Informational,6600,"0.44,0.44,0.44,1.00,0.81,0.66,1.00,0.54,0.54,0.44,0.44,0.44",0,90,49,1.09,"Sitelinks, Image pack, Video, Related searches",
book cover maker,"Informational, Commercial",5400,"0.66,0.54,0.54,0.81,0.81,0.66,0.81,0.66,1.00,0.81,1.00,0.66",8,71,37,1.46,"Sitelinks, Image pack, Video, Related searches",
ai thumbnail maker,Informational,2900,"0.66,0.66,0.66,0.52,0.80,0.66,1.00,1.00,0.80,0.80,0.80,1.00",0,93,39,0.79,"Sitelinks, Image pack, Video, Related searches, Ads top, Ads bottom",
thumbnail creator,"Informational, Commercial",1900,"0.16,0.16,0.12,0.23,0.16,1.00,0.16,0.16,0.16,0.19,0.16,0.19",3,90,55,0.86,"Sitelinks, Image pack, Video, People also ask, Related searches",
ai cover generator,"Informational, Transactional",1300,"1.00,0.79,0.67,0.67,0.67,0.54,0.42,0.42,0.54,0.33,0.42,0.42",2,68,42,1.04,"Sitelinks, Image pack, Video, Related searches",
youtube thumbnail generator,Informational,1300,"0.52,0.46,0.46,0.68,0.52,0.52,0.84,0.84,1.00,0.84,0.84,0.84",0,89,51,0.95,"Image pack, Video, Related searches",
free thumbnail maker,Informational,1000,"0.76,0.68,0.68,0.68,0.54,0.54,0.76,0.76,0.76,1.00,0.76,0.76",0,92,57,0.6,"Sitelinks, Image pack, Video, Related searches",
free youtube thumbnail maker,Informational,1000,"0.62,0.55,0.30,0.36,0.36,0.62,0.62,0.81,0.81,1.00,1.00,0.81",0,91,53,0.81,"Sitelinks, Image pack, Video, Related searches",
poster generator,"Informational, Commercial",1000,"0.55,0.55,0.81,1.00,0.81,0.81,0.81,0.62,0.62,0.81,0.81,0.24",1,81,66,0.97,"Sitelinks, Image, Image pack, Video, Related searches, Ads top, Ads bottom",
thumbnail generator,Informational,1000,"0.55,0.55,0.45,0.62,0.62,0.62,1.00,0.81,1.00,0.81,0.81,0.81",0,90,53,0.69,"Image pack, Video, People also ask, Related searches, Ads bottom",
instagram post maker,"Informational, Commercial",880,"0.24,0.45,0.45,1.00,0.55,0.55,0.62,0.45,0.55,0.81,0.81,0.55",1,85,50,1.61,"Image pack, Video, Related searches",
twitter banner maker,Informational,880,"0.72,0.72,0.72,0.88,1.00,0.88,1.00,0.88,0.88,0.59,0.72,0.59",1,81,33,1.16,"Image pack, Video, Related searches",
twitter header maker,Informational,590,"1.00,0.45,0.45,0.45,0.76,0.55,0.55,0.55,0.55,0.24,0.30,0.30",0,82,29,1.16,"Image pack, Video, Related searches",
cover maker,Informational,480,"0.36,0.36,0.36,1.00,0.67,0.54,0.54,0.44,0.54,0.44,0.67,0.54",0,63,43,1.16,"Image pack, Video, Related searches",
facebook cover image generator,Informational,390,"0.83,0.67,0.44,1.00,0.44,0.83,0.23,0.19,0.09,0.83,0.83,0.67",0,68,39,0.76,"Sitelinks, Image, Video, Related searches",
linkedin banner maker,"Informational, Commercial",320,"0.40,0.80,0.80,0.60,0.60,0.60,0.80,0.80,1.00,0.80,1.00,1.00",0,83,35,0.79,"Image, Image pack, Video, People also ask, Related searches",
youtube thumbnail ideas,Informational,320,"0.54,0.66,0.54,0.43,0.43,0.43,0.54,1.00,0.81,0.66,0.66,0.54",0,,22,1.25,"Sitelinks, Image pack, Video, Related searches",
cover creator,"Informational, Commercial",260,"0.65,0.65,0.65,0.65,0.82,0.82,1.00,0.82,0.82,1.00,1.00,0.65",0,62,49,1.49,"Sitelinks, Image pack, Video, People also ask, Related searches",
cover image generator,Informational,260,"0.35,0.35,0.28,0.28,1.00,0.54,0.28,0.44,0.35,0.28,0.44,0.23",0,60,30,1.23,"Image, Image pack, Video, Related searches",
spotify playlist cover maker,Informational,260,"0.18,0.24,0.24,0.36,0.44,0.44,1.00,0.36,0.24,0.36,0.29,0.36",0,71,44,0,"Sitelinks, Image pack, Video, Related searches",
ai album art generator,Commercial,210,"0.28,0.28,0.28,0.35,1.00,0.44,0.44,0.28,0.23,0.23,0.28,0.23",0,86,24,1.02,"Sitelinks, Video, Related searches",
ai thumbnail generator free,"Informational, Commercial",210,"0.01,0.06,0.03,0.03,0.01,0.01,0.08,0.20,1.00,0.03,0.13,0.03",0,88,21,0.58,"Video, Related searches",
youtube thumbnail templates,Informational,210,"0.82,0.66,1.00,0.66,0.20,0.43,1.00,0.66,0.52,0.52,0.43,0.52",0,87,36,1.35,"Sitelinks, Image pack, Video, Related searches",
facebook cover maker,Commercial,170,"0.26,0.65,0.65,0.65,0.80,0.80,0.65,1.00,1.00,0.65,0.80,0.41",0,65,38,0.69,"Sitelinks, Reviews, Image pack, Video, Discussions and forums, Related searches",
ai youtube thumbnail maker,Informational,140,"0.19,0.23,0.19,0.23,0.33,0.80,0.80,0.80,0.80,0.80,1.00,1.00",0,93,37,1,"Sitelinks, Image pack, Video, Related searches",
linkedin cover image generator,Informational,140,"0.05,0.05,0.05,0.05,0.05,0.28,1.00,0.53,0.53,0.53,0.43,0.43",0,73,36,1.16,"Sitelinks, Image pack, Video, Related searches",
spotify album cover maker,Informational,110,"0.26,0.26,0.42,0.42,1.00,0.26,0.65,0.26,0.26,0.42,0.34,0.26",0,70,44,0,"Sitelinks, Image pack, Video, Discussions and forums, Related searches",
spotify cover maker,Informational,70,"0.75,0.75,0.54,1.00,1.00,0.54,1.00,0.75,0.75,0.75,0.75,0.54",0,69,44,0,"Sitelinks, Image pack, Video, Related searches",
twitter cover maker,"Informational, Transactional",70,"0.63,0.63,0.45,0.63,0.63,0.81,0.63,1.00,0.27,0.63,0.63,0.45",0,66,31,1.13,"Video, Related searches",
instagram thumbnail maker,"Informational, Commercial",50,"0.11,0.11,0.11,1.00,1.00,0.64,0.11,0.11,0.11,0.11,0.11,0.11",0,81,10,2.09,"Image, Image pack, Video, Related searches",
