Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),SERP Features
fortnite thumbnail,Informational,4400,"0.71,0.71,0.43,0.43,0.57,1.00,1.00,0.71,1.00,0.43,0.57,0.57",19,2.74,"Image, Image pack, Video, Related searches"
youtube thumbnail grabber,"Informational, Commercial",4400,"0.55,0.55,0.55,1.00,0.82,0.44,0.55,0.44,0.82,0.55,0.67,0.44",29,0,"Sitelinks, Video, Related searches"
pig 64 thumbnail,Informational,3600,1.00,25,0,"Sitelinks, Image, Image pack, Video, Related searches"
thumbnail grabber,"Informational, Commercial",2900,"1.00,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.67,0.80,1.00",23,0,"Sitelinks, Image pack, Video, People also ask, Related searches"
lil jon logo thumbnail,Informational,2400,1.00,7,0,"Image, Image pack, Video, Related searches"
mw3 thumbnail pack payhip,"Navigational, Transactional",2400,1.00,15,0,"Image, Image pack, Video, Related searches"
mw3 thumbnail packs free,Informational,2400,1.00,24,0,"Image, Image pack, Video, Related searches"
sws thumbnail bf 2042,Informational,2400,1.00,26,0,"Sitelinks, Image, Image pack, Video, People also ask, Related searches"
visual maps clips thumbnails,Informational,2400,1.00,28,0,"Sitelinks, Image pack, Video, People also ask, Related searches"
wii theme thumbnail,Informational,2400,1.00,27,0,"Image, Image pack, Video, Related searches"
fortnite thumbnails,Informational,1900,"0.50,0.70,0.50,0.40,1.00,0.80,0.70,0.80,0.30,0.20,0.40,0.50",26,2.74,"Image, Image pack, Video, Related searches"
thumbnail sketches,Informational,1900,"0.20,0.27,1.00,0.80,0.53,0.27,0.67,0.53,0.80,0.80,0.53,0.20",25,0,"Sitelinks, Image, Image pack, Video, People also ask, Related searches"
readingreading thumbnailmathmath thumbnail,Informational,1600,"0.81,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",14,0,"Sitelinks, Image pack, Video, Related searches"
thumbnail tester,"Informational, Commercial",1600,"1.00,0.52,0.68,0.68,0.52,0.52,0.84,1.00,0.68,0.84,1.00,1.00",29,1.51,"Sitelinks, Image pack, Video, People also ask, Related searches"
thumbnail background,Informational,1300,"0.86,0.68,0.86,1.00,0.86,0.68,0.54,0.68,0.46,0.54,0.54,0.54",28,1.94,"Image, Image pack, Video, Related searches"
